API Number,Operator,Month,Day,Year,Well_Name,Field_Name,County,Shale_Formation/Member,Depth,Depth_Range_(feet),Second_Depth_Interval_(feet),Third_Depth_Interval_(feet),Initial_Potential_(MCFD),Water_(BWPD),ISIP,SITP/SICP,FTP/FCP,IP OIL/COND,API gravity,GOR,Comments,Lateral Length (ft),PI Newsletter Date,Latitude,Longitude
35-091-20698,Noble Energy Production,6,30,2007,2B Berryhill,Coalton,McIntosh,Caney,2864,2864-2874,2904-2914,,87,35,,,40,,,,OWWO; gross depth range,,1/2/2009,35.41729,-95.845751
35-029-20872,Devon Energy,7,1,2007,1-22H Reed,unnamed,Coal,Woodford,6352,6352,,,526,81,,,500,,,,"HORIZONTAL well; lateral 6,664-8,300 ft; gross depth range; discovery-new field",1636,5/30/2008,34.722384,-96.244026
35-063-23902,Newfield Exploration,7,2,2007,1H-36 Genevieve,unnamed,Hughes,Woodford,6818,6818,,,2576,1274,,706,200,,,,"HORIZONTAL well; lateral 7,489-9,750 ft; gross depth range",2261,4/11/2008,34.946381,-96.09876
35-029-20832,Devon Energy,7,2,2007,1-4H Double 5 Ranch,unnamed,Coal,Woodford,6235,6235,,,1018,711,,,280,,,,"HORIZONTAL well; lateral 6,597-8,393 ft; gross depth range; discovery-new field",1796,2/15/2008,34.753317,-96.263634
35-029-20850,Continental Resources,7,3,2007,1-30H Pasquali,unnamed,Coal,Woodford,7984,7984,,,1124,378,,,156,,,,"HORIZONTAL well; lateral 8,155-9,369 ft; gross depth range; discovery-new field",1214,2/29/2008,34.708071,-96.18332
35-121-23792,Antero Resources,7,4,2007,20-1H Silva,unnamed,Pittsburg,Woodford,9623,9623,,,5295,70,,875,900,,,,"HORIZONTAL well; lateral 10,057-11,927 ft; discovery-new field",1870,11/2/2007; 1/15/2008,34.980951,-95.737442
35-029-20867,Newfield Exploration,7,4,2007,1H-1-A Naomi,unnamed,Coal,Woodford,10761,10761,,,2522,1424,,,160,,,,"HORIZONTAL well; lateral 11,503-12,952 ft; gross depth range; discovery-new field",1449,1/18/2008,34.664465,-96.204438
35-063-23881,Devon Energy,7,4,2007,1-7H Brooks,Hill Top SW,Hughes,Woodford,7970,7970,,,2857,386,,,700,,,,"HORIZONTAL well; lateral 8,300-10,424 ft; gross depth range",2124,3/7/2008; 9/29/2009,34.831487,-96.183258
35-095-20485,Range Production,7,9,2007,1-21 Davy Jones,unnamed,Marshall,Woodford,7605,7605-7745,,,217,60,,,80,,,,Gross depth range; discovery-new field,,10/5/2007,34.1035,-96.684278
35-029-20834,Newfield Exploration,7,9,2007,1H-2 Bargers,unnamed,Coal,Woodford,11716,11716,,,1045,259,,,60,,,,"HORIZONTAL well; lateral 12,263-13,631 ft; gross depth range; discovery-new field",1368,12/28/2007,34.664692,-96.112962
35-029-20862,Antero Resources,7,9,2007,33-1H Brown,Ashland N,Coal,Woodford,8618,8618,,,4403,631,,,820,,,,"HORIZONTAL well; lateral 9,448-12,134 ft; discovery-extension",2686,2/22/2008,34.693714,-96.148126
35-063-23885,Devon Energy,7,9,2007,1-16H Clifft,unnamed,Hughes,Woodford,7936,7936,,,2110,257,,,640,,,,"HORIZONTAL well; lateral 8,689-11,100 ft; gross depth range; discovery-new field",2411,5/16/2008,34.824328,-96.152431
35-121-23846,Petroquest Energy,7,12,2007,1-21H Terry,unnamed,Pittsburg,Woodford,8042,8042,,,946,320,,,90,,,,"HORIZONTAL well; lateral 8,504-10,300 ft; discovery-new field",1796,1/25/2008,35.058815,-95.722115
35-029-20780,Antero Resources,7,12,2007,19-1H Thomas State,unnamed,Coal,Woodford,10518,10518,,,1812,704,,,200,,,,"HORIZONTAL well; lateral 11,406-14,529 ft; discovery-new field",3123,4/4/2008,34.461213,-96.194432
35-029-20822,Devon Energy,7,13,2007,1-10H Double 5 Ranch,unnamed,Coal,Woodford,6675,6675,,,1416,237,,,650,,,,"HORIZONTAL well; lateral 6,978-8,934 ft; gross depth range; discovery-new field",1956,1/25/2008,34.751315,-96.239576
35-029-20869,St. Mary Land & Exploration,7,14,2007,1-1 Duncan-Shores,unnamed,Coal,Woodford,9311,9311,,,2658,182,,,450,,,,"HORIZONTAL well; lateral 9,548-12,853 ft; gross depth range; discovery-new field",3305,11/2/2007,34.590182,-96.208882
35-029-20858,Newfield Exploration,7,14,2007,1H-2 Perry,unnamed,Coal,Woodford,10463,10463,,,1716,260,,,80,,,,"HORIZONTAL well; lateral 10,850-12,176 ft; gross depth range; discovery-new field",1326,12/28/2007,34.666282,-96.215395
35-029-20802,Newfield Exploration,7,14,2007,1H-30 Burris,unnamed,Coal,Woodford,10084,10084,,,943,312,,,100,,,,"HORIZONTAL well; lateral 10,512-12,430 ft; gross depth range; discovery-new field",1918,1/18/2008,34.620956,-96.185392
35-029-20878,Antero Resources,7,14,2007,21-1H City of Lehigh-Federal,unnamed,Coal,Woodford,8238,8238,,,457,580,,,120,,,,"HORIZONTAL well; lateral 9,095-12,315 ft; discovery-new field",3220,4/4/2008,34.448391,-96.251297
35-029-20839,Devon Energy,7,19,2007,1-11H Double 5 Ranch,unnamed,Coal,Woodford,6952,6952,,,1108,711,,,350,,,,"HORIZONTAL well; lateral 7,599-9,381 ft; gross depth range; discovery-new field",1782,1/25/2008,34.751431,-96.221965
35-019-23135,Tripledee Drilling Company,7,19,2007,1-14 Goddard,Baum N,Carter,Woodford,6244,6244-6386,,,240,80,,,,8,43,30000,"IPJ OIL 8 BPD; GOR 30,000; OIL GTY 43 API DEG; OWWO; gross depth range",,2/6/2009,34.294428,-96.965016
35-121-23821,XTO Energy,7,20,2007,10-19H Dillard,Ashland S,Pittsburg,Woodford,9114,9114,,,2504,272,,1510,1140,,,,"HORIZONTAL well; lateral 9,800-11,904 ft",2104,,34.719337,-96.086873
35-091-20584,Noble Energy Production,7,20,2007,2 Church,Coalton,McIntosh,Caney,2772,2772-2776,2800-2805,,82,6,,,45,,,,Gross depth range; OWWO,,12/19/2008,35.431783,-95.854663
35-029-20845,Newfield Exploration,7,21,2007,1H-10 Bullock,unnamed,Coal,Woodford,9157,9157,,,1882,410,,,150,,,,"HORIZONTAL well; lateral 9,550-11,050 ft; gross depth range",1500,12/14/2007,34.651757,-96.237366
35-063-23897,Continental Resources,7,22,2007,1-17H Pratt,Gerty,Hughes,Woodford,6826,6826,,,4118,2389,,,170,,,,"HORIZONTAL well; lateral 6999-10,485 ft",3486,,34.822094,-96.274327
35-029-20847,Devon Energy,7,23,2007,1-2H Double 5 Ranch,unnamed,Coal,Woodford,7032,7032,,,1017,356,,,500,,,,"HORIZONTAL well; lateral 7,269-9,383 ft; gross depth range; discovery-new field",2114,5/16/2008,34.753434,-96.228565
35-005-20342,Antero Resources,7,27,2007,11-2H Carver,unnamed,Atoka,Woodford,8004,8004,,,754,186,,,131,,,,"HORIZONTAL well; lateral 8,860-12,336 ft",3476,4/4/2008,34.4048,-96.225151
35-005-20344,Antero Resources,7,28,2007,11-4H Carver,unnamed,Atoka,Woodford,8161,8161,,,1904,1072,,,225,,,,"HORIZONTAL well; lateral 9,330-12,645 ft; discovery-extension",3315,4/4/2008,34.4048,-96.22077
35-063-23886,Antero Resources,7,28,2007,13-1H Charles State,Cabaniss NW,Hughes,Woodford,6577,6577,,,761,366,,,140,,,,"HORIZONTAL well; lateral 9,062-9,639 ft",577,4/4/2008,34.997115,-96.094462
35-005-20345,Antero Resources,7,28,2007,11-3H Carver,unnamed,Atoka,Woodford,8045,8045,,,1053,525,,,125,,,,"HORIZONTAL well; lateral 8,900-12,215 ft",3315,4/18/2008,34.403029,-96.220688
35-029-20874,Antero Resources,7,30,2007,34-1H Hall-State,Ashland S,Coal,Woodford,8459,8459,,,2200,199,,,250,,,,"HORIZONTAL well; lateral 9,090-10,567 ft",1477,4/18/2008,34.688352,-96.132732
35-121-23850,Chesapeake Operating,7,31,2007,1-17H Sundown Ranch,Ashland N,Pittsburg,Woodford,8608,8608,,,2553,1560,,,1000,,,,"HORIZONTAL well; lateral 8,794-11,961 ft; gross depth range",3167,5/9/2008,34.812128,-96.062939
35-063-23851,Chesapeake Operating,8,2,2007,1-21H Gann,Carson SE,Hughes,Woodford,4811,4811,,,605,427,,,306,,,,"HORIZONTAL well; lateral 5,198-7,807 ft; gross depth range",2609,11/23/2007,35.146084,-96.038363
35-063-23913,Devon Energy,8,4,2007,1-9H Shirley,Ashland N,Hughes,Woodford,7950,7950,,,1972,432,,,300,,,,"HORIZONTAL well; lateral 8,375-10,925 ft",2550,2/1/2008,34.826177,-96.152359
35-063-23909,Continental Resources,8,5,2007,1-33H Brown,unnamed,Hughes,Woodford,5042,5042,,,1022,1508,,,,,,,"HORIZONTAL well; lateral 5,335-9,281 ft; gross depth range; discovery-new field",3946,2/1/2008,35.042335,-96.250976
35-029-20835,Newfield Exploration,8,8,2007,1H-8 Trentham,Ashland S,Coal,Woodford,10728,10728,,,1780,227,,,124,,,,"HORIZONTAL well; lateral 11,320-13,254 ft; gross depth range; discovery-new field",1934,1/11/2008; 3/12/2013,34.666473,-96.176554
35-121-23870,Petroquest Energy,8,9,2007,1-20H Georgi,unnamed,Pittsburg,Woodford,8175,8175,,,1256,420,,,85,,,,"HORIZONTAL well; lateral 9,240-11,929 ft; gross depth range; discovery-new field",2689,4/25/2008,35.058925,-95.739777
35-063-23916,Continental Resources,8,10,2007,1-19H Wolohon,unnamed,Hughes,Woodford,6460,6460,,,2243,1456,,,160,,,,"HORIZONTAL well; lateral 6,647-10,564 ft; gross depth range; discovery-new field",3917,12/7/2007,34.809312,-96.294172
35-063-23879,Continental Resources,8,11,2007,1-31H Nelson,unnamed,Hughes,Woodford,6613,6613,,,634,,,,100,,,,"HORIZONTAL well; lateral 6,947-10,310 ft; gross depth range; discovery-new field",3363,12/28/2007,34.778572,-96.286589
35-063-23894,Newfield Exploration,8,11,2007,3H-8 Cattle,unnamed,Hughes,Woodford,8186,8186,,,3396,1692,,,335,,,,"HORIZONTAL well; lateral 8,700-10,900 ft; gross depth range",2200,2/29/2008,34.83697,-96.170065
35-063-23893,Newfield Exploration,8,12,2007,2H-8 Cattle,unnamed,Hughes,Woodford,8304,8304,,,3878,1125,,,320,,,,"HORIZONTAL well; lateral 8,700-10,994 ft; gross depth range",2294,1/18/2008,34.838777,-96.167864
35-029-20817,Pablo Energy II LLC,8,13,2007,1H-29 Ables,Centrahoma,Coal,Woodford,7157,7157,,,4578,960,,,425,20,55,,"HORIZONTAL well; lateral 7,980-11,455 ft; gross depth range; IPF COND 20 BPD; OIL GTY 55 API DEG",3475,4/1/2008,34.535724,-96.270181
35-063-23847,Newfield Exploration,8,14,2007,1H-8 Cattle,unnamed,Hughes,Woodford,8084,8084,,,4023,1415,,,360,,,,"HORIZONTAL well; lateral 8,400-10,600 ft; gross depth range; discovery-new field",2200,1/18/2008,34.83697,-96.165662
35-029-20837,Devon Energy,8,14,2007,1-9H Double 5 Ranch,unnamed,Coal,Woodford,6175,6175,,,267,193,,,270,,,,"HORIZONTAL well; lateral 7,181-8,636 ft; discovery-extension",1455,2/8/2008,34.74228,-96.257136
35-029-20884,Pablo Energy II LLC,8,14,2007,1H-32 Carleigh,Coalgate SW,Coal,Woodford,6648,6648,,,2488,480,,,,80,42,31100,"HORIZONTAL well; lateral 7,380-9,745 ft; IPF OIL 80 BPD; OIL GTY 42 API DEG; GOR 31,100",2365,2/29/2008,34.521175,-96.277892
35-029-20799,Newfield Exploration,8,15,2007,1H-19 Cunningham,unnamed,Coal,Woodford,10606,10606,,,741,26,,,30,,,,"HORIZONTAL well; lateral 11,179-12,371 ft; gross depth range; discovery-new field",1192,1/18/2008,34.630049,-96.183183
35-063-21824,KLO,8,15,2007,1-8 Bell,Horns Corner,Hughes,Woodford,4319,4319-4408,,,11,120,,,,,,,OWWO,,1/18/2008,35.088654,-96.281853
35-145-23017,Coronado Great Plains,8,16,2007,17-1 Showman,Tullahassee District,Wagoner,Woodford,790,0790-0816,,,25,125,,,,,,,Discovery-extension,,1/23/2009,35.866604,-95.415067
35-121-23848,Newfield Exploration,8,17,2007,1H-34 Leigh,Scipio NW,Pittsburg,Woodford,6560,6560,,,257,502,,,90,,,,"HORIZONTAL well; lateral 6,735-8,070 ft; gross depth range; discovery-extension",1335,1/11/2008,35.02988,-96.028451
35-063-23892,Newfield Exploration,8,17,2007,4H-8 Cattle,unnamed,Hughes,Woodford,8161,8161,,,2938,816,,,250,,,,"HORIZONTAL well; lateral 8,800-11,100 ft; gross depth range",2300,3/21/2008,34.83697,-96.172267
35-029-20873,Pablo Energy II LLC,8,17,2007,1H-30 Caitlin,Centrahoma,Coal,Woodford,6896,6896,,,2041,600,,,210,80,43,25512,"HORIZONTAL well; lateral 7,640-11,189 ft; IPP OIL 80 BPD; GOR 25,512; OIL GTY 43 API DEG",3549,,34.535646,-96.285521
35-063-23880,Devon Energy,8,18,2007,1-29H Brewer,unnamed,Hughes,Woodford,7312,7312,,,1967,2181,,,1600,,,,"HORIZONTAL well; lateral 7,576-10,475 ft; gross depth range; discovery-new field",2899,2/15/2008,34.792988,-96.271242
35-063-23917,Newfield Exploration,8,20,2007,1H-35 Patterson,unnamed,Hughes,Woodford,6586,6586,,,2077,1787,,,220,,,,"HORIZONTAL well; lateral 6,949-9,310 ft; gross depth range; discovery-new field",2361,2/22/2008,34.951802,-96.117494
35-121-23866,XTO Energy,8,21,2007,2-17H John G. Black,Pine Hollow S,Pittsburg,Woodford,7780,7780,,,3517,598,,,780,,,,"HORIZONTAL well; lateral 8,170-11,264 ft",3094,1/11/2008,34.899121,-96.060343
35-145-23009,WCT Operating,8,21,2007,1-14 Otis Collins,Wagoner District SW,Wagoner,Woodford,782,0782-0804,,,48,150,,,,,,,Discovery-extension,,5/9/2008,35.945377,-95.460126
35-029-20879,St. Mary Land & Exploration,8,23,2007,1-34 James,Centrahoma,Coal,Woodford,8320,8320,,,734,330,,,185,,,,"HORIZONTAL well; lateral 8,600-11,855 ft; gross depth range",3255,2/8/2008,34.604675,-96.247408
35-145-23005,WCT Leasing,8,23,2007,1-14 Trout,Wagoner District,Wagoner,Woodford,800,0800-0822,,,14,150,,,,,,,,,2/15/2008,35.950799,-95.472404
35-121-23890,XTO Energy,8,24,2007,7-21H Johnson Estate,Ashland S,Pittsburg,Woodford,9745,9745,,,1255,131,,2800,2250,,,,"HORIZONTAL well; lateral 10,300-13,153 ft",2853,11/16/2007,34.719363,-96.049598
35-019-25087,BNK Petroleum US,8,27,2007,35-1H Greenway,Baum N,Carter,Woodford,9654,9654,,,1179,69,,,140,27,,43666,"HORIZONTAL well; lateral 10,063-12,456 ft; gross depth range; IPP 27 BBLS condensate; GOR 43,666",2393,3/7/2008; 4/7/2009; 5/3/2011,34.258942,-96.965054
35-145-23003,WCT Leasing,8,29,2007,1-1 Jeffers,Wagoner District,Wagoner,Woodford,664,0664-0694,,,33,450,,,,,,,,,2/15/2008,35.987106,-95.445553
35-145-22996,Coronado Great Plains,8,29,2007,1-14CW Dean Lola,Porter SE,Wagoner,Woodford,1090,1090-1216,,,175,56,,,,,,,Discovery-extension,,2/20/2009,35.857516,-95.472081
35-063-23905,Newfield Exploration,8,30,2007,1H-2 Kilgore,Pine Hollow S,Hughes,Woodford,6900,6900,,,2006,450,,,125,,,,"HORIZONTAL well; lateral 8,000-9,660 ft; discovery-extension",1660,4/11/2008,34.926376,-96.107758
35-121-23759,Antero Resources,8,31,2007,21-1H Silva,McAlester E,Pittsburg,Woodford,9596,9596,,,1240,68,,,200,,,,"HORIZONTAL well; lateral 10,218-11,815 ft",1597,3/7/2008,34.980817,-95.726476
35-029-20846,Devon Energy,9,2,2007,1-16H Double 5 Ranch,unnamed,Coal,Woodford,5932,5932,,,635,795,,,220,,,,"HORIZONTAL well; lateral 6,198-8,967 ft; gross depth range; discovery-new field",2769,5/23/2008,34.727888,-96.261708
35-137-26398,Newfield Exploration,9,2,2007,5D Wood,Sho-Vel-Tum,Stephens,Woodford,3764,3764-4152,,,554,,,,60,19,36,,DIRECTIONAL well; gross depth range; IPF OIL 19 BPD; OIL GTY 36.4 API DEG; OWWO,,7/25/2008,34.447743,-97.701425
35-029-20866,St. Mary Land & Exploration,9,4,2007,1-10 Wanda,Centrahoma,Coal,Woodford,8480,8480,,,1640,278,,,720,,,,"HORIZONTAL well; lateral 8,600-12,215 ft; gross depth range; discovery-extension",3615,2/8/2008,34.577451,-96.239591
35-063-23891,Devon Energy,9,5,2007,1-25H Pearson,unnamed,Hughes,Woodford,8093,8093,,,3298,335,,,650,,,,"HORIZONTAL well; lateral 8,327-10,724 ft; gross depth range; discovery-new field",2397,3/28/2008,34.796949,-96.20421
35-121-23864,Newfield Exploration,9,8,2007,1H-4 Margaret,Scipio NW,Pittsburg,Caney,5823,5823,,,307,430,,,,,,,"HORIZONTAL well; lateral 6,500-7,220 ft; gross depth range; discovery-extension",720,4/4/2008,35.020532,-96.048266
35-029-20827,Newfield Exploration,9,10,2007,1H-5 Sherman,unnamed,Coal,Woodford,11716,11716,,,1861,223,,,,,,,"HORIZONTAL well; lateral 11,121-12,580 ft; gross depth range; drilling problems; discovery-new field",1459,3/7/2008,34.666473,-96.176554
35-029-20883,St. Mary Land & Exploration,9,11,2007,5-12 Phillips,Coalgate N,Coal,Woodford,9123,9123,,,2235,359,,,340,,,,"HORIZONTAL well; lateral 9,500-12,615 ft; gross depth range",3115,11/2/2007,34.575672,-96.212204
35-029-20880,Newfield Exploration,9,12,2007,1H-3 Adams,Midwell,Coal,Woodford,7016,7016,,,2119,1126,,,220,,,,"HORIZONTAL well; lateral 7,634-9,919 ft; gross depth range",2285,2/1/2008,34.680756,-96.33596
35-029-20865,Newfield Exploration,9,13,2007,1H-6 Pasquali,unnamed,Coal,Woodford,10769,10769,,,2597,1057,,,275,,,,"HORIZONTAL well; lateral 11,385-13,285 ft; gross depth range; discovery-new field",1900,2/1/2008,34.664511,-96.19523
35-029-20864,Pablo Energy II LLC,9,13,2007,1H-15 Branom,Coalgate,Coal,Woodford,9086,9086,,,1120,960,,,190,,,,"HORIZONTAL well; lateral 9,700-13,030 ft",3330,,34.47559,-96.240294
35-063-23924,Devon Energy,9,14,2007,1-5H Hodges,unnamed,Hughes,Woodford,8278,8278,,,2346,307,,,660,,,,"HORIZONTAL well; lateral 9,000-10,813 ft; gross depth range; discovery-new field",1813,2/29/2008,34.838777,-96.175569
35-029-20854,Newfield Exploration,9,15,2007,1H-15 Sprague,unnamed,Coal,Woodford,9484,9484,,,2648,1522,,,250,,,,"HORIZONTAL well; lateral 9,950-12,134 ft; gross depth range; discovery-extension",2184,2/15/2008,34.620961,-96.213226
35-063-23931,Newfield Exploration,9,18,2007,2H-10 Reeder,Ashland N,Hughes,Woodford,8050,8050,,,2217,1164,,,230,,,,"HORIZONTAL well; lateral 8,001-10,900 ft; gross depth range; discovery-extension",2899,2/22/2008,34.829791,-96.143609
35-063-23915,Newfield Exploration,9,19,2007,2H-27 Whitlow,unnamed,Hughes,Woodford,7137,7137,,,5493,1827,,,130,,,,"HORIZONTAL well; lateral 7,675-9,960 ft; gross depth range",2285,2/15/2008,34.786036,-96.248197
35-121-23877,Newfield Exploration,9,20,2007,1H-3 Maverick,Cabaniss NW,Pittsburg,Woodford,7105,7105,,,482,538,,,2500,,,,"HORIZONTAL well; lateral 7,800-9,100 ft; gross depth range; discovery-extension",1300,1/18/2008,35.018725,-96.034035
35-121-23874,Newfield Exploration,9,21,2007,2H-18 Adams,Pine Hollow S,Pittsburg,Woodford,,,,,483,83,,,,,,,"HORIZONTAL well; lateral 7,555-9,676 ft",2121,,34.899216,-96.07472
35-005-20311,Pablo Energy II LLC,9,24,2007,1H-29 Mildred,unnamed,Atoka,Woodford,5683,5683,,,753,563,,,125,,,,"HORIZONTAL well; lateral 5,880-9,105 ft; gross depth range; discovery-new field",3225,2/15/2008,34.358471,-96.274493
35-029-20848,Newfield Exploration,9,25,2007,1H-21 Cunningham,unnamed,Coal,Woodford,10925,10925,,,1961,210,,,125,,,,"HORIZONTAL well; lateral 11,500-13,850 ft; gross depth range; discovery-new field",2350,1/25/2008,34.635517,-96.15904
35-121-23907,Chesapeake Operating,9,25,2007,1-21H Anne,Scipio NW,Pittsburg,Woodford,5575,5575,,,879,450,,,115,,,,"HORIZONTAL well; lateral 5,684-8,404 ft; gross depth range",2720,2/15/2008,35.058889,-96.050545
35-005-20351,Antero Resources,9,25,2007,19-4H Pettigrew,unnamed,Atoka,Woodford,8551,8551,,,3587,890,,,100,,,,"HORIZONTAL well; lateral 9,645-11,564 ft",1919,4/18/2008,34.375656,-96.181424
35-121-23908,XTO Energy,9,27,2007,4-29H Hall,Pine Hollow S,Pittsburg,Woodford,8078,8078,,,2308,227,,2100,500,,,,"HORIZONTAL well; lateral 8,110-11,934 ft; drilling problems",3824,11/16/2007,34.870158,-96.068002
35-063-23953,Newfield Exploration,9,30,2007,2H-36 Parker,unnamed,Hughes,Woodford,7001,7001,,,3262,1247,,,290,,,,"HORIZONTAL well; lateral 7,800-9,694 ft; gross depth range",1894,2/22/2008,34.776965,-96.213059
35-145-22982,Coronado Great Plains,9,30,2007,17-3 McCollough,Tullahassee District,Wagoner,Woodford,920,0920-0950,,,25,300,,,,,,,Discovery-extension,,2/13/2009,35.86299,-95.421757
35-145-23019,Coronado Great Plains,9,30,2007,17-4H McCollough,Tullahassee District,Wagoner,Woodford,786,786,,,25,350,,,,,,,"HORIZONTAL well; openhole; lateral 1,571-3,492 ft",1921,5/15/2009,35.857568,-95.428446
35-029-20876,Pablo Energy II LLC,10,1,2007,1H-20 Ray,Centrahoma,Coal,Woodford,7718,7718,,,500,480,,,150,,,,"HORIZONTAL well; lateral 8,370-11,275 ft; gross depth range",2905,2/1/2008,34.460875,-96.268775
35-029-20877,Newfield Exploration,10,2,2007,1H-19 Dempsey,unnamed,Coal,Woodford,7043,7043,,,2106,1429,,,240,,,,"HORIZONTAL well; lateral 7,450-9,828 ft; gross depth range; discovery-new field",2378,2/1/2008,34.631733,-96.294284
35-063-23946,Newfield Exploration,10,2,2007,2H-4 Adams,unnamed,Hughes,Woodford,8116,8116,,,3529,1299,,,210,,,,"HORIZONTAL well; lateral 8,842-11,272 ft; gross depth range",2430,2/22/2008,34.840668,-96.161169
35-005-20318,Pablo Energy II LLC,10,2,2007,1H-29 Meadows,unnamed,Atoka,Woodford,8794,8794,,,965,360,,,80,,,,"HORIZONTAL well; lateral 9,000-11,403 ft; gross depth range; discovery-new field",2403,4/4/2008,34.260547,-96.17513
35-005-20348,Antero Resources,10,3,2007,19-2H Pettigrew,unnamed,Atoka,Woodford,8230,8230,,,2251,1848,,,350,,,,"HORIZONTAL well; lateral 9,246-12,421 ft",3175,4/18/2008,34.373951,-96.192503
35-029-20889,Antero Resources,10,3,2007,35-4H Blue,unnamed,Coal,Woodford,8800,8800,,,924,954,,550,100,,,,"HORIZONTAL well; lateral 9,622-12,665 ft",3043,4/18/2008; 4/28/2008,34.419258,-96.216459
35-063-23914,Chesapeake Operating,10,4,2007,1-11H Webster,Calvin SE,Hughes,Woodford,5956,5956,,,984,1048,,,130,,,,"HORIZONTAL well; lateral 6,240-9,224 ft; gross depth range",2984,1/11/2008; 3/25/2008,34.913564,-96.217774
35-063-23941,Continental Resources,10,4,2007,1-24H Linda,unnamed,Hughes,Woodford,6291,6291,,,1682,740,,,200,,,,"HORIZONTAL well; lateral 6,715-8,819 ft; gross depth range; discovery-new field",2104,8/29/2008,34.796662,-96.306897
35-063-23936,Newfield Exploration,10,5,2007,2H-28 Sanford,unnamed,Hughes,Woodford,7085,7085,,,7215,2031,,,560,,,,"HORIZONTAL well; lateral 7,510-9,966 ft; gross depth range",2456,4/4/2008,34.786036,-96.248197
35-121-23911,Newfield Exploration,10,5,2007,1H-32 Ida Jane,Pine Hollow S,Pittsburg,Woodford,7304,7304,,,1364,,,,,,,,"HORIZONTAL well; lateral 7,950-9,515 ft; gross depth range",1565,3/14/2008; 3/25/2008,34.948211,-96.066945
35-079-21968,Longview Production Company,10,6,2007,2-9 McCroskey,D&A,Le Flore,Woodford,8412,8412,,,,,,,,,,,"DIRECTIONAL well; perforations 8,418-8,574 ft; D&A",,1/30/2009,35.184262,-94.559033
35-029-20791,Newfield Exploration,10,8,2007,1H-11 Perry,unnamed,Coal,Woodford,10115,10115,,,1688,239,,,130,,,,"HORIZONTAL well; lateral 10,557-12,930 ft; gross depth range; discovery-new field",2373,1/18/2008,34.662658,-96.21763
35-145-23004,WCT Leasing,10,8,2007,1-15 Stickelmeyer,Coweta District,Wagoner,Woodford,880,0880-0900,,,15,30,,,,,,,,,4/18/2008,35.956226,-95.49135
35-029-20887,Antero Resources,10,8,2007,35-3H Blue,unnamed,Coal,Woodford,8451,8451,,,1750,625,,,400,,,,"HORIZONTAL well; lateral 9,604-12,673 ft",3069,4/25/2008,34.419258,-96.220841
35-029-20789,Newfield Exploration,10,10,2007,1H-11 Ennis,Ashland S,Coal,Woodford,11437,11437,,,2055,120,,,125,,,,"HORIZONTAL well; lateral 12,075-14,322 ft; gross depth range",2247,1/18/2008,34.652945,-96.112962
35-063-23925,Devon Energy,10,10,2007,1-25H Cassell,Midwell,Hughes,Woodford,6092,6092,,,1475,544,,,540,,,,"HORIZONTAL well; lateral 6,634-9,001 ft; gross depth range",2367,2/15/2008,34.780379,-96.309272
35-029-20749,Deka Exploration,10,10,2007,4-8 Double 5 Ranch,unnamed,Coal,Woodford,5744,5744,,,267,220,,,90,,,,"HORIZONTAL well; lateral 7,900-8,555 ft; gross depth range",655,2/29/2008,34.738746,-96.274363
35-049-24261,Cimarex Energy of Colorado,10,11,2007,2-8 Harris,Eola-Robberson,Garvin,Woodford,7240,7240-7250,,,920,12,,,300,55,40,16727,"IPF OIL 55 BPD; GOR 16,727; OIL GTY 40 API DEG; OWWO",,2/1/2008,34.574872,-97.439195
35-145-23029,Coronado Great Plains,10,11,2007,13-1 Berry,Porter SE,Wagoner,Woodford,934,0934-0960,,,25,75,,,,,,,,,12/19/2008,35.862954,-95.447499
35-145-23014,Coronado Great Plains,10,11,2007,21-1 Chrisman,unnamed,Wagoner,Woodford,928,0928-0950,,,25,120,,,,,,,Discovery-new field,,2/13/2009,35.843114,-95.39493
35-063-23951,Newfield Exploration,10,12,2007,1H-1 Foster,unnamed,Hughes,Woodford,7867,7867,,,4226,373,,,,,,,"HORIZONTAL well; lateral 8,375-10,750 ft; gross depth range; discovery-new field",2375,4/18/2008,34.840558,-96.199807
35-005-20350,Antero Resources,10,14,2007,19-3H Pettigrew,unnamed,Atoka,Woodford,8134,8134,,,2389,1086,,1100,340,,,,"HORIZONTAL well; lateral 9,048-12,076 ft",3028,4/11/2008,34.373951,-96.19688
35-145-23024,WCT Operating,10,15,2007,1-12 Bethel,Wagoner District,Wagoner,Woodford,627,0627-0654,,,61,175,,,,,,,,,2/15/2008,35.97257,-95.450008
35-145-23010,WCT Operating,10,15,2007,1-25 Stone,Wagoner District,Wagoner,Woodford,1040,1040-1063,,,20,480,,,,,,,,,2/15/2008,35.921711,-95.441084
35-145-23022,Coronado Great Plains,10,17,2007,17-1 George,Tullahassee District,Wagoner,Woodford,753,0753-0780,,,25,110,,,,,,,,,1/23/2009,35.870218,-95.423987
35-029-20894,Devon Energy,10,18,2007,1-28H Holder,Legal SW,Coal,Woodford,6975,6975,,,1420,,,405,375,,,,"HORIZONTAL well; lateral 7,608-9,526 ft; gross depth range; discovery-extension",1918,6/27/2008,34.695309,-96.254954
35-063-23963,Newfield Exploration,10,19,2007,2H-29 Poe,unnamed,Hughes,Woodford,7733,7733,,,3184,242,,,,,,,"HORIZONTAL well; lateral 8,410-10,177 ft; gross depth range",1767,4/18/2008,34.780737,-96.174295
