API Number,Operator,Month,Day,Year,Well_Name,Field_Name,County,Shale_Formation/Member,Depth,Depth_Range_(feet),Second_Depth_Interval_(feet),Third_Depth_Interval_(feet),Initial_Potential_(MCFD),Water_(BWPD),ISIP,SITP/SICP,FTP/FCP,IP OIL/COND,API gravity,GOR,Comments,Lateral Length (ft),PI Newsletter Date,Latitude,Longitude
35-051-23935,Apache Corporation,7,27,2015,1H Truman 28-6-6,Alex NW,Grady,Woodford,14886,14886,,,6432,560,,,2545,371,64,17337,"HORIZONTAL well; lateral 15,004-19,500 ft; IPF COND 371 BPD; GOR 17,337; OIL GTY 64 API DEG",4496,8/14/2015,34.970376,-97.830222
35-085-21247,XTO Energy,7,27,2015,1-6H31 Hoenig,Marietta SW,Love,Woodford,16129,16129,,,2897,1961,,,2800,804,47,3603,"OIL WELL; HORIZONTAL well; lateral 16,241-21,159 ft; IPF OIL 804 BPD; GOR 3,603; OIL GTY 47 API DEG",4918,8/14/2015; 8/21/2015,33.895747,-97.138059
35-133-25196,Silver Creek Oil & Gas,7,28,2015,15-1H The Dance,Konawa-Dora,Seminole,Woodford,3425,3425,,,,2380,,,100,,,,"OIL WELL; HORIZONTAL well; lateral 3,703-8,187 ft",4484,12/11/2015,34.984357,-96.668872
35-017-24779,Newfield Exploration,7,31,2015,1H-23 Vernes,Richland,Canadian,Woodford,8957,8957,,,453,65,,,,600,,755,"OIL WELL; HORIZONTAL well; lateral 9,294-13,869 ft; IPP OIL 600 BPD; GOR 755",4575,9/18/2015,35.668578,-97.920086
35-017-24788,Newfield Exploration,7,31,2015,1H-9XX Redhead,Concho N,Canadian,Woodford,9289,9289,,,805,472,,,,1820,45,442,"OIL WELL; HORIZONTAL well; lateral 9,236-21,023 ft; IPP OIL 1,820 BPD; GOR 442; OIL GTY 45 API DEG",11787,10/2/2015,35.710283,-97.95791
35-083-24368,Devon Energy,8,2,2015,3WH Schiro 2-18N-3W,Elk Horn SE,Logan,Woodford,5802,5802,,,457,1388,,,,271,,1686,"OIL WELL; HORIZONTAL well; lateral 5,968-7,843 ft; IPP OIL 271 BPD; GOR 1,686; DRLG PROBLEMS",1875,10/2/2015,36.071555,-97.485234
35-121-24735,Petroquest Energy,8,3,2015,3-21H Roger,Featherston,Pittsburg,Woodford,8211,8211,,,5290,1189,,,800,,,,HORIZONTAL well; lateral not reported,,9/25/2015,35.073678,-95.513359
35-121-24739,Petroquest Energy,8,3,2015,2-22H Lindsi,Quinton District,Pittsburg,Woodford,8130,8130,,,5367,1286,,,,,,,"HORIZONTAL well; lateral 8,447-13,294 ft",4847,4/29/2016,35.075485,-95.500049
35-121-24738,Petroquest Energy,8,3,2015,3-22H Lindsi,Quinton District,Pittsburg,Woodford,8165,8165,,,4931,784,,,,,,,"HORIZONTAL well; lateral 9.058-13,579 ft",4521,4/29/2016,35.075485,-95.500049
35-121-24733,Petroquest Energy,8,4,2015,3-16H Davenport,Quinton District,Pittsburg,Woodford,7988,7988,,,4131,1615,,,680,,,,"HORIZONTAL well; lateral 8,583-13,373 ft",4790,9/18/2015,35.073678,-95.511151
35-121-24734,Petroquest Energy,8,4,2015,2-21H Roger,Quinton District,Pittsburg,Woodford,8264,8264,,,4191,612,,,610,,,,"HORIZONTAL well; lateral 8,668-13,332 ft",4664,9/18/2015,35.073678,-95.513359
35-121-24736,Petroquest Energy,8,4,2015,2-15H Stenner,Quinton District,Pittsburg,Woodford,8016,8016,,,3814,1445,,,,,,,"HORIZONTAL well; lateral 8,563-13,370 ft",4807,4/29/2016,35.075485,-95.500049
35-121-24737,Petroquest Energy,8,4,2015,3-15H Stenner,Quinton District,Pittsburg,Woodford,7953,7953,,,3149,1626,,,,,,,"HORIZONTAL well; lateral 8,972-13,559 ft",4587,4/29/2016,35.075485,-95.500049
35-039-22458,Continental Resources,8,5,2015,1-1-36XH Shifflett,Fay E,Custer,Woodford,12217,12217,,,3195,3674,,,725,145,42,22034,"HORIZONTAL well; lateral 12,688-22,512 ft; IPF OIL 145 BPD; GOR 22,034; OIL GTY 42 API DEG",9824,8/21/2015,35.798958,-98.648633
35-133-25162,Silver Creek Oil & Gas,8,5,2015,6-5H White House,Holdenville,Seminole,Woodford,4067,4067,,,105,1307,,,,188,41,559,"OIL WELL; HORIZONTAL well; lateral 5,054-9,026 ft; IPG OIL 188 BPD; GOR 559; OIL GTY 41 API DEG",3972,10/9/2015,35.015147,-96.501823
35-051-23934,Vitruvian II Woodford,8,6,2015,1-17X8H Prince,Golden Trend,Grady,Springer,12752,12752,,,611,650,,,,565,44,1081,"LOWER SPRINGER SHALE INTERPRETED AS GODDARD SHALE; OIL WELL; HORIZONTAL well; lateral 13,344-18,066 ft; liner 12,038-13,363 ft; IPF OIL 565 BPD; GOR 1,081; OIL GTY 44.5 API DEG",4722,9/11/2015,34.811123,-97.752991
35-121-24732,Petroquest Energy,8,8,2015,2-16H Davenport,Quinton District,Pittsburg,Woodford,8001,8001,,,3796,962,,,200,,,,HORIZONTAL well,,9/18/2015,35.073678,-95.513359
35-083-24381,Oklahoma Energy Acquisitions,8,9,2015,3-3WH Gale 1503,Seward NW,Logan,Woodford,5899,5899,,,767,1181,,,,69,42,11116,"OIL WELL; HORIZONTAL well; lateral 6,425-11,175 ft; liner 5,964-11,362 ft; IPP OIL 69 BPD; GOR 11,116; OIL GTY 42 API DEG",4750,1/20/2017,35.812143,-97.509301
35-137-27302,Marathon Oil,8,10,2015,1-31H Davenport Ranch,Sho-Vel-Tum,Stephens,Woodford,15136,15136,,,9575,1374,,2200,1146,60,,159583,"HORIZONTAL well; lateral 13,600-18,080 ft; IPF COND 60 BPD; GOR 159,583",4480,10/23/2015; 10/30/2015,34.508003,-97.761751
35-051-23947,Continental Resources,8,12,2015,1-23H Sawyer,Tabler E,Grady,Springer,11901,11901,,,1026,125,,,,829,45,1238,"LOWER SPRINGER SHALE INTERPRETED AS GODDARD SHALE; OIL WELL; HORIZONTAL well; lateral 12,309-17,027 ft; IPF OIL 829 BPD; GOR 1,238; OIL GTY 44.9 API DEG; produced 60,500 bbls of oil in first three months",4718,9/18/2015,35.057758,-97.808274
